,date,header,links,views,comments
38,2020-06-20 20:20:46,Osint Amateur Hour,https://www.secjuice.com/geolocation-osint-amateur-hour/,27,7
39,2020-06-20 20:20:48,CityLab has been relaunched under the Bloomberg umbrella,https://www.niemanlab.org/2020/06/citylab-has-been-relaunched-under-the-bloomberg-umbrella/,26,2
51,2020-06-20 20:21:12,Reyes Rendering on the GPU [pdf],https://markussteinberger.net/papers/GPUReyes.pdf,23,0
32,2020-06-20 20:20:34,Alex: A ML-enhanced range index,https://github.com/microsoft/ALEX,19,0
12,2020-06-20 10:42:05,ForgeFed: A federation protocol for interop between version control services,https://forgefed.peers.community/,18,0
52,2020-06-20 20:21:14,Our deepest view of the X-ray sky,http://www.mpe.mpg.de/7461761/news20200619,18,6
29,2020-06-20 10:42:39,Stamper: An Artboard-Oriented Creative Coding Environment,https://dl.acm.org/doi/pdf/10.1145/3334480.3382994,14,2
24,2020-06-20 10:42:29,Ask HN: Shopify self hosted e-commerce alternative?,item?id=23581414,12,6
6,2020-06-20 10:41:53,The Nova Scotia shooter case has hallmarks of an undercover operation,https://www.macleans.ca/news/canada/the-nova-scotia-shooter-case-has-hallmarks-of-an-undercover-operation/,7,0
37,2020-06-20 20:20:44,RSS Box – RSS for websites that do not support RSS,https://rssbox.herokuapp.com/,7,2
14,2020-06-20 10:42:09,TiDB 4.0 GA Release,https://pingcap.com/blog/tidb-4.0-ga-gearing-you-up-for-an-unpredictable-world-with-real-time-htap-database/,7,0
53,2020-06-20 20:21:16,BBS and Usenet era Textfiles,http://textfiles.com/,5,0
27,2020-06-20 10:42:35,Micro benchmarks – what can possibly go wrong,https://genodians.org/skalk/2020-06-18-micro-benchmarking,5,0
40,2020-06-20 20:20:50,"Why Apple ditched PowerPC, and what it says about Apple ditching Intel",https://tedium.co/2020/06/16/apple-powerpc-intel-transition-history/,4,0
