,text,created at
0,"RT @orcatra: Trump Promises New Lawsuit Against Vote-By-Mail https://t.co/s80sOBL1Tr

Excellent news. While convenient, it’s a gateway for…",Thu Jun 18 10:34:14 +0000 2020
0,"RT @orcatra: Trump Promises New Lawsuit Against Vote-By-Mail https://t.co/s80sOBL1Tr

Excellent news. While convenient, it’s a gateway for…",Thu Jun 18 10:34:14 +0000 2020
